frame,class,confidence,x1,y1,x2,y2
79,weed,0.8419,177,481,355,630
80,weed,0.8427,177,481,355,631
81,weed,0.8450,177,481,355,633
82,weed,0.8457,177,481,355,633
83,weed,0.8455,177,481,355,633
84,weed,0.8467,177,481,355,632
85,weed,0.8437,179,481,354,630
86,weed,0.8437,179,481,354,630
87,weed,0.8441,179,481,354,629
88,weed,0.8347,179,482,353,625
89,weed,0.7549,177,481,355,625
101,weed,0.8274,176,482,357,629
102,weed,0.8394,175,484,355,630
103,weed,0.8378,178,483,356,626
104,weed,0.8379,179,482,356,622
105,weed,0.8377,179,482,356,621
106,weed,0.8368,179,482,356,621
107,weed,0.8365,179,482,356,620
108,weed,0.8364,179,482,356,620
109,weed,0.7909,173,481,357,621
110,weed,0.7496,168,480,357,627
111,weed,0.3484,171,479,356,628
114,weed,0.2507,136,440,359,628
116,weed,0.2922,160,451,358,624
117,weed,0.7162,159,466,357,628
118,weed,0.8047,163,477,357,627
119,weed,0.2710,162,481,357,628
120,weed,0.5155,158,471,357,625
128,weed,0.3511,27,3,565,588
129,weed,0.3694,25,2,577,602
140,weed,0.2504,29,22,587,859
141,weed,0.2805,48,528,576,1068
162,weed,0.2533,21,0,591,613
176,weed,0.3349,62,512,580,1076
177,weed,0.3772,40,30,577,820
178,weed,0.3751,37,28,581,891
179,weed,0.3034,27,1,585,640
180,weed,0.3363,26,0,585,619
181,weed,0.3103,34,95,577,1037
182,weed,0.2652,35,71,578,993
187,weed,0.3004,150,468,324,622
190,weed,0.2946,34,16,581,903
191,weed,0.2548,34,13,581,928
194,weed,0.3255,70,441,578,1068
195,weed,0.3339,73,443,578,1067
196,weed,0.3230,72,441,579,1068
203,weed,0.2582,29,63,575,1000
204,weed,0.2870,26,0,587,629
205,weed,0.3321,26,1,587,647
206,weed,0.2914,28,1,588,639
207,weed,0.2839,26,116,575,1021
208,weed,0.2573,29,20,582,968
210,weed,0.2607,28,67,574,989
211,weed,0.2916,26,67,573,984
219,weed,0.2718,29,15,585,836
226,weed,0.2925,31,79,575,994
228,weed,0.2857,32,72,576,999
229,weed,0.2667,32,69,575,1000
230,weed,0.3164,34,66,574,985
231,weed,0.2985,33,17,583,823
232,weed,0.2798,33,24,578,937
236,weed,0.2527,37,8,586,823
237,weed,0.2801,44,211,577,1055
237,weed,0.2749,31,1,585,659
238,weed,0.2870,35,7,586,827
239,weed,0.3110,38,16,583,790
240,weed,0.2990,35,28,580,876
242,weed,0.2736,58,525,582,1076
244,weed,0.4837,139,470,330,647
261,weed,0.2644,49,630,580,1076
263,weed,0.2667,48,547,580,1078
264,weed,0.7249,173,462,350,632
265,weed,0.8357,178,466,346,632
266,weed,0.8085,181,470,345,632
267,weed,0.8227,180,470,345,632
268,weed,0.8221,179,470,345,632
269,weed,0.8132,178,471,345,632
270,weed,0.7996,177,472,345,632
271,weed,0.7988,176,472,345,632
272,weed,0.5907,174,468,349,631
299,weed,0.2783,29,0,582,599
300,weed,0.2810,26,0,583,597
301,weed,0.2647,25,0,578,591
302,weed,0.2788,28,0,576,589
303,weed,0.3659,23,0,581,552
303,weed,0.2841,55,558,578,1075
304,weed,0.4357,32,0,584,643
304,weed,0.2535,58,580,577,1076
305,weed,0.4987,28,0,584,640
306,weed,0.4576,32,1,584,643
307,weed,0.4873,30,0,582,641
307,weed,0.2849,55,569,575,1075
308,weed,0.4513,29,0,581,635
308,weed,0.3100,62,581,572,1074
309,weed,0.4256,31,0,581,644
309,weed,0.2785,66,600,572,1074
310,weed,0.4418,29,0,582,641
310,weed,0.2812,64,599,570,1074
311,weed,0.4264,30,0,583,635
311,weed,0.2604,60,598,572,1075
312,weed,0.4348,31,0,582,632
312,weed,0.2534,60,591,573,1075
313,weed,0.4411,30,0,583,636
314,weed,0.5070,29,0,583,645
315,weed,0.5002,27,0,580,647
316,weed,0.4380,29,0,582,652
317,weed,0.3949,31,1,583,656
318,weed,0.3917,32,1,584,658
319,weed,0.3946,32,1,585,657
320,weed,0.3085,31,0,592,648
321,weed,0.2813,31,0,593,650
322,weed,0.2721,32,0,591,653
324,weed,0.2935,35,0,592,676
325,weed,0.3042,33,0,589,656
326,weed,0.2895,30,0,594,658
329,weed,0.2687,52,15,584,713
330,weed,0.3602,47,17,579,700
331,weed,0.3330,40,0,593,691
332,weed,0.3050,39,0,594,690
333,weed,0.3655,37,0,593,692
334,weed,0.3256,39,0,594,698
335,weed,0.4133,39,0,593,700
336,weed,0.3887,47,14,583,708
337,weed,0.2979,38,0,593,679
338,weed,0.2943,37,0,593,681
341,weed,0.3056,55,15,585,713
342,weed,0.3481,38,0,595,703
343,weed,0.3290,84,3,591,733
344,weed,0.3374,56,10,586,726
345,weed,0.3208,62,23,583,710
346,weed,0.2982,39,0,595,683
348,weed,0.2874,76,10,589,723
349,weed,0.2789,37,0,593,677
350,weed,0.2561,58,46,578,691
351,weed,0.3467,32,2,590,691
352,weed,0.4133,40,3,588,689
359,weed,0.2539,35,0,594,621
360,weed,0.2903,33,0,594,634
360,weed,0.2854,60,603,577,1076
361,weed,0.3529,29,0,591,622
361,weed,0.3486,60,602,576,1075
362,weed,0.3412,28,0,590,622
362,weed,0.3379,65,585,572,1075
363,weed,0.3920,32,0,590,633
363,weed,0.3680,60,605,573,1075
364,weed,0.3128,32,0,593,636
364,weed,0.2522,61,616,576,1076
365,weed,0.3951,30,0,591,617
365,weed,0.3292,67,617,575,1075
366,weed,0.3957,33,0,592,632
366,weed,0.3302,64,608,576,1076
367,weed,0.4042,33,0,592,633
367,weed,0.3482,65,610,573,1075
368,weed,0.3110,36,0,596,628
368,weed,0.2955,61,606,573,1076
369,weed,0.3491,57,609,571,1075
369,weed,0.2930,44,0,594,638
370,weed,0.3470,56,611,569,1075
370,weed,0.3023,44,0,593,645
371,weed,0.3074,43,0,593,653
371,weed,0.2642,68,586,568,1076
372,weed,0.3317,63,616,570,1073
372,weed,0.3248,42,0,588,634
373,weed,0.3689,68,567,570,1074
373,weed,0.2946,42,0,592,656
374,weed,0.3822,40,2,589,685
374,weed,0.3685,70,569,568,1073
375,weed,0.3840,31,4,588,678
375,weed,0.2961,71,508,571,1065
376,weed,0.4609,34,5,589,663
381,weed,0.3840,173,477,346,635
382,weed,0.5745,175,476,345,635
383,weed,0.7591,171,476,348,639
384,weed,0.5315,172,474,347,636
385,weed,0.3491,174,478,343,634
398,weed,0.5607,174,479,345,635
399,weed,0.3197,174,478,342,633
400,weed,0.6071,175,480,345,635
401,weed,0.6777,175,480,349,635
402,weed,0.7028,175,480,348,635
403,weed,0.6482,174,479,348,634
404,weed,0.7139,177,481,343,637
405,weed,0.4803,176,481,343,637
406,weed,0.4042,177,482,342,636
407,weed,0.4084,177,480,337,635
408,weed,0.4297,178,479,335,635
409,weed,0.5243,179,478,339,636
412,weed,0.2585,176,463,341,637
413,weed,0.4187,176,465,340,639
414,weed,0.5220,174,461,341,640
415,weed,0.5503,175,469,339,639
416,weed,0.7205,176,473,342,638
417,weed,0.3092,176,467,340,638
420,weed,0.6825,172,463,344,639
421,weed,0.4876,168,472,340,638
424,weed,0.4625,175,479,331,638
425,weed,0.4578,175,474,335,640
426,weed,0.2708,178,479,335,639
428,weed,0.5048,177,475,337,643
429,weed,0.4561,174,464,343,645
429,weed,0.2899,25,0,590,639
430,weed,0.4818,172,436,352,654
431,weed,0.7071,168,443,358,657
432,weed,0.7653,168,437,359,654
433,weed,0.3234,172,458,359,649
434,weed,0.4813,173,478,349,638
435,weed,0.5683,172,477,343,639
436,weed,0.5347,172,475,344,639
437,weed,0.6935,173,460,354,639
438,weed,0.5682,169,465,361,647
439,weed,0.8127,173,482,358,648
440,weed,0.7797,171,480,360,647
441,weed,0.7356,169,480,362,649
442,weed,0.4086,167,459,361,647
443,weed,0.7321,169,445,350,641
444,weed,0.6513,169,468,338,640
445,weed,0.7324,171,458,342,639
446,weed,0.7402,170,460,346,640
447,weed,0.7651,172,465,344,639
448,weed,0.5941,168,456,351,644
449,weed,0.7700,170,477,368,647
450,weed,0.7918,169,469,363,648
451,weed,0.8260,169,472,362,647
452,weed,0.8094,169,468,374,649
453,weed,0.6689,169,472,363,648
454,weed,0.7095,168,445,361,644
455,weed,0.6687,169,456,347,644
456,weed,0.7542,169,444,342,643
457,weed,0.7252,169,452,340,643
458,weed,0.6944,168,455,353,646
459,weed,0.8401,170,474,373,649
460,weed,0.7247,169,476,368,646
461,weed,0.7400,168,473,373,652
462,weed,0.7432,169,466,372,648
463,weed,0.7556,169,459,366,641
464,weed,0.8189,170,466,363,638
465,weed,0.7725,169,453,370,641
466,weed,0.5773,169,429,368,644
467,weed,0.7270,169,426,370,642
467,weed,0.4137,170,479,358,640
468,weed,0.6835,169,435,361,644
469,weed,0.7889,170,459,358,643
470,weed,0.8387,171,464,379,644
471,weed,0.5684,165,465,367,634
472,weed,0.5763,164,462,375,636
473,weed,0.7464,166,466,377,635
474,weed,0.8344,168,450,374,635
475,weed,0.7425,167,464,375,638
476,weed,0.7710,168,472,375,634
477,weed,0.7602,165,470,380,636
478,weed,0.7880,168,471,377,636
479,weed,0.5585,167,462,367,637
480,weed,0.8064,167,474,359,640
481,weed,0.8227,168,478,358,645
482,weed,0.7930,168,477,378,636
483,weed,0.7488,167,463,381,642
484,weed,0.7481,167,466,374,641
485,weed,0.7965,166,470,376,636
486,weed,0.6998,165,472,377,640
487,weed,0.4130,167,476,368,637
488,weed,0.6759,168,478,372,639
489,weed,0.7453,169,478,371,638
490,weed,0.4932,166,475,362,638
491,weed,0.7094,168,478,371,641
492,weed,0.6939,168,477,382,642
493,weed,0.8060,168,482,364,643
494,weed,0.8385,168,481,364,641
495,weed,0.6496,166,468,380,640
496,weed,0.8018,169,461,381,635
497,weed,0.8119,170,461,379,635
498,weed,0.7721,167,453,385,637
499,weed,0.5222,161,465,380,642
500,weed,0.7816,167,474,382,635
501,weed,0.8040,166,473,385,633
502,weed,0.7565,168,475,374,634
503,weed,0.7795,167,472,362,637
504,weed,0.7850,167,472,364,641
505,weed,0.7154,169,463,380,638
506,weed,0.7439,169,456,380,635
507,weed,0.7211,170,459,376,636
508,weed,0.7585,169,462,380,637
509,weed,0.7910,168,461,380,636
510,weed,0.7451,167,464,384,637
511,weed,0.6843,167,464,384,634
512,weed,0.7484,168,463,384,637
513,weed,0.7817,168,462,384,638
514,weed,0.7285,165,448,385,639
515,weed,0.7164,167,451,386,637
516,weed,0.6652,169,454,383,638
517,weed,0.8258,169,460,379,635
518,weed,0.7751,166,456,381,639
519,weed,0.8280,169,460,376,636
520,weed,0.8068,169,460,378,636
521,weed,0.7893,169,460,377,637
522,weed,0.6307,168,461,386,639
523,weed,0.2890,164,462,378,645
524,weed,0.3287,163,462,376,645
525,weed,0.6253,167,461,377,644
526,weed,0.7816,169,462,375,641
527,weed,0.7247,168,462,382,643
528,weed,0.5498,167,463,375,644
529,weed,0.5737,164,459,387,645
530,weed,0.7768,169,463,378,637
531,weed,0.8017,168,461,379,639
532,weed,0.8248,168,460,378,638
533,weed,0.6921,165,459,381,647
534,weed,0.8166,169,463,376,636
535,weed,0.8333,167,475,375,634
536,weed,0.7056,175,475,377,629
537,weed,0.5940,185,467,378,646
538,weed,0.7432,205,470,378,623
539,weed,0.7079,207,468,378,622
540,weed,0.6069,210,466,379,623
544,weed,0.2511,30,1,590,605
545,weed,0.2610,32,1,589,612
546,weed,0.2565,33,1,589,610
548,weed,0.5136,203,480,376,627
549,weed,0.5441,206,475,373,628
550,weed,0.3608,210,454,378,637
551,weed,0.4128,218,474,380,633
552,weed,0.5502,224,481,377,630
553,weed,0.2670,33,1,588,619
555,weed,0.2544,30,1,588,618
556,weed,0.5725,259,483,394,613
557,weed,0.2536,31,1,587,618
558,weed,0.3041,264,489,395,612
558,weed,0.3032,32,1,587,615
559,weed,0.4218,265,488,395,615
559,weed,0.3190,31,1,587,615
560,weed,0.4842,251,489,397,628
560,weed,0.3032,30,1,590,625
561,weed,0.3380,30,1,587,621
562,weed,0.3307,31,1,586,620
563,weed,0.3152,31,1,587,622
564,weed,0.3174,30,1,587,621
574,weed,0.2731,20,0,590,551
575,weed,0.2693,22,0,592,546
576,weed,0.2699,25,0,592,549
577,weed,0.3392,21,0,592,549
578,weed,0.2550,24,0,590,543
579,weed,0.3314,23,0,588,538
580,weed,0.2763,23,0,588,535
581,weed,0.2613,25,0,587,531
582,weed,0.2646,25,0,588,532
583,weed,0.2681,25,0,588,542
584,weed,0.3016,27,0,588,537
585,weed,0.3702,22,0,587,556
586,weed,0.3451,25,0,591,549
589,weed,0.2516,25,0,589,557
590,weed,0.2702,24,0,589,559
591,weed,0.3353,24,0,592,569
592,weed,0.3287,26,0,590,561
593,weed,0.3340,27,0,590,557
594,weed,0.3493,24,0,591,558
595,weed,0.3631,23,0,592,560
596,weed,0.3421,24,0,592,561
597,weed,0.2860,27,0,593,551
598,weed,0.2771,27,0,592,552
599,weed,0.2513,28,0,593,553
603,weed,0.2507,27,0,593,563
605,weed,0.3034,27,0,592,566
606,weed,0.2677,25,0,592,559
607,weed,0.3316,22,0,591,560
608,weed,0.3193,21,0,590,547
609,weed,0.3223,21,0,589,538
610,weed,0.3266,21,0,589,537
611,weed,0.3005,22,0,590,535
612,weed,0.2989,23,0,592,542
613,weed,0.2685,25,0,594,556
614,weed,0.2666,26,0,595,564
615,weed,0.2665,27,0,594,567
616,weed,0.2592,26,0,594,569
617,weed,0.2930,24,0,594,567
618,weed,0.3174,26,0,595,568
619,weed,0.2667,28,0,592,549
620,weed,0.2580,27,0,590,546
622,weed,0.3010,26,0,589,560
623,weed,0.2599,27,0,589,553
624,weed,0.2603,27,0,588,551
625,weed,0.2832,29,0,587,554
626,weed,0.3250,29,0,588,556
627,weed,0.2985,32,0,587,561
628,weed,0.3030,33,0,587,562
635,weed,0.2520,37,0,591,557
636,weed,0.2673,35,0,591,554
637,weed,0.3052,31,0,590,556
638,weed,0.2958,31,0,592,554
639,weed,0.2911,29,0,592,555
640,weed,0.2690,25,10,588,562
641,weed,0.2596,24,0,585,544
643,weed,0.2858,24,0,585,548
644,weed,0.2784,25,0,585,549
645,weed,0.2943,25,0,585,550
646,weed,0.3041,24,0,584,549
647,weed,0.2909,25,0,585,548
648,weed,0.2769,24,0,584,548
650,weed,0.2869,24,0,584,549
651,weed,0.2633,24,0,584,548
654,weed,0.3448,26,1,584,563
656,weed,0.2601,218,468,372,600
656,weed,0.2585,27,2,586,573
657,weed,0.5445,218,471,372,599
657,weed,0.3380,25,2,586,577
658,weed,0.3779,25,3,585,572
658,weed,0.3505,218,475,372,605
659,weed,0.3793,219,483,372,610
659,weed,0.3514,26,2,585,568
660,weed,0.4655,218,485,371,611
660,weed,0.3414,26,2,586,568
661,weed,0.4275,221,477,371,604
661,weed,0.3072,26,2,586,573
662,weed,0.3559,217,467,368,599
666,weed,0.3494,26,1,587,572
668,weed,0.3714,24,1,587,566
668,weed,0.2718,55,638,581,1074
671,weed,0.2641,26,1,588,569
672,weed,0.2545,27,1,588,567
675,weed,0.3415,24,0,588,564
676,weed,0.3253,24,0,588,567
677,weed,0.2599,27,0,589,568
678,weed,0.3003,26,1,588,563
678,weed,0.2970,199,436,354,573
680,weed,0.3248,204,463,364,592
681,weed,0.3237,200,458,363,595
681,weed,0.2625,28,1,588,563
695,weed,0.3207,170,447,342,573
699,weed,0.3022,144,450,326,588
700,weed,0.2722,143,442,325,578
701,weed,0.4594,147,439,327,573
702,weed,0.3405,142,439,327,576
703,weed,0.3956,140,447,324,587
704,weed,0.2949,138,448,327,602
705,weed,0.2858,137,458,331,615
706,weed,0.2630,138,461,330,614
707,weed,0.3179,131,455,327,615
708,weed,0.3757,134,454,324,614
709,weed,0.3090,128,448,324,591
711,weed,0.3176,127,431,316,570
712,weed,0.3097,120,420,321,564
713,weed,0.3005,119,421,322,564
714,weed,0.3033,117,428,320,570
715,weed,0.2851,114,423,316,572
716,weed,0.2718,115,423,315,570
717,weed,0.2602,109,424,316,570
721,weed,0.3137,94,410,315,563
722,weed,0.2849,90,373,318,546
733,weed,0.3272,3,262,212,482
734,weed,0.3426,3,281,207,514
735,weed,0.6814,2,292,196,547
736,weed,0.8048,1,303,186,563
737,weed,0.7346,0,313,174,575
738,weed,0.6426,1,330,171,587
739,weed,0.6523,1,336,163,592
740,weed,0.7323,0,347,161,594
741,weed,0.7657,0,356,157,592
742,weed,0.7422,1,363,161,596
743,weed,0.7678,1,370,159,601
744,weed,0.6786,1,371,167,614
745,weed,0.3432,1,382,167,629
753,weed,0.5059,2,415,153,651
767,weed,0.2886,2,398,149,636
776,weed,0.3621,28,412,230,653
781,weed,0.3138,43,411,245,648
782,weed,0.3367,44,411,247,648
783,weed,0.3016,45,411,253,651
784,weed,0.3219,45,408,253,649
785,weed,0.3941,47,408,256,651
786,weed,0.3702,47,408,255,652
787,weed,0.2794,51,410,261,651
788,weed,0.2600,50,410,264,650
789,weed,0.2948,49,410,268,652
793,weed,0.3522,58,394,273,640
794,weed,0.3863,63,392,275,638
795,weed,0.3617,64,391,275,635
796,weed,0.3769,66,388,278,637
797,weed,0.4208,67,389,279,636
798,weed,0.4548,65,391,285,640
798,weed,0.2820,50,379,578,1066
799,weed,0.4302,65,397,284,644
799,weed,0.3692,44,380,576,1066
800,weed,0.3992,41,405,579,1066
800,weed,0.3178,61,404,291,652
801,weed,0.4823,57,409,288,658
801,weed,0.4146,38,405,577,1060
803,weed,0.3341,38,563,578,1070
804,weed,0.4343,49,411,284,663
804,weed,0.2663,72,574,580,1068
805,weed,0.6310,43,411,267,663
806,weed,0.5862,40,410,259,661
807,weed,0.5190,31,409,246,662
808,weed,0.5686,28,411,241,661
809,weed,0.3399,22,412,243,664
810,weed,0.4184,20,413,236,660
811,weed,0.4928,16,416,219,659
812,weed,0.4861,12,419,218,659
813,weed,0.4919,12,419,217,660
816,weed,0.2607,89,580,580,1070
819,weed,0.2763,63,607,585,1075
820,weed,0.3319,65,602,587,1075
821,weed,0.3118,84,593,580,1072
822,weed,0.3077,88,585,583,1071
823,weed,0.2913,5,421,213,667
823,weed,0.2781,70,590,589,1074
824,weed,0.3362,7,421,214,666
824,weed,0.2646,89,578,583,1067
826,weed,0.2999,4,412,203,660
827,weed,0.2575,127,448,586,1068
831,weed,0.3102,74,527,582,1074
832,weed,0.2877,77,576,584,1071
833,weed,0.2768,82,576,576,1071
834,weed,0.3236,64,592,579,1075
835,weed,0.3135,66,601,579,1074
836,weed,0.3435,65,597,582,1074
837,weed,0.3636,63,599,586,1074
838,weed,0.3793,83,595,581,1069
839,weed,0.2759,66,605,586,1074
841,weed,0.2500,86,562,579,1069
842,weed,0.3923,85,520,578,1070
843,weed,0.3880,87,508,580,1069
847,weed,0.2610,77,605,584,1074
848,weed,0.3253,53,605,578,1075
850,weed,0.2923,62,597,586,1075
851,weed,0.2673,65,598,587,1075
852,weed,0.2793,65,594,588,1075
853,weed,0.2512,84,583,581,1069
854,weed,0.3877,2,410,155,654
859,weed,0.2507,71,608,574,1065
860,weed,0.3509,74,611,567,1070
861,weed,0.2931,69,645,545,1070
867,weed,0.2769,24,0,583,567
902,weed,0.2595,22,0,581,616
922,weed,0.2837,26,1,586,617
936,weed,0.2521,26,0,584,559
